year,area,population,snapHousehold,snapHouseholdWithChildren,snapMarriedWithChildren,snapOtherFamilyWithChildren,snapSingleFather,snapSingleMother,snapNonFamily,snapNoChildren,snapMarriedNoChildren,snapOtherFamilyNoChildren,snapSingleMale,snapSingleFemale,snapNonFamilyNoChildren,nonSnapHousehold,nonSnapHouseholdWithChildren,nonSnapMarriedWithChildren,nonSnapOtherFamilyWithChildren,nonSnapSingleFather,nonSnapSingleMother,nonSnapNonFamily,nonSnapNoChildren,nonSnapMarriedNoChildren,nonSnapOtherFamilyNoChildren,nonSnapSingleMale,nonSnapSingleFemale,nonSnapNonFamilyNoChildren
2017,House Creek,27832,1651,987,269,711,227,484,7,664,78,85,0,85,501,26181,5377,3834,1536,282,1254,7,20804,6579,1309,393,916,12916
2017,Leesville,17759,433,225,58,167,83,84,0,208,66,48,0,48,94,17326,6072,4910,1141,396,745,21,11254,4591,646,197,449,6017
2017,Little River,4807,464,328,199,129,34,95,0,136,60,16,0,16,60,4343,1370,969,354,125,229,47,2973,1561,427,160,267,985
2017,Marks Creek,8036,793,387,121,247,0,247,19,406,141,123,0,123,142,7243,2908,1824,1029,287,742,55,4335,2310,449,155,294,1576
2017,Meredith,7498,244,99,99,0,0,0,0,145,0,13,0,13,132,7254,1426,1125,285,76,209,16,5828,1536,399,190,209,3893
2017,Middle Creek,17633,1238,786,360,426,123,303,0,452,74,112,54,58,266,16395,6989,5869,1084,427,657,36,9406,5384,643,276,367,3379
2017,Neuse,31185,2905,2127,371,1756,285,1471,0,778,120,254,22,232,404,28280,9258,6177,3034,996,2038,47,19022,6398,1734,450,1284,10890
2017,New Light,2913,104,41,21,20,0,20,0,63,0,0,0,0,63,2809,1153,1052,101,101,0,0,1656,1254,74,14,60,328
2017,Panther Branch,8887,475,369,200,169,25,144,0,106,17,11,11,0,78,8412,3076,2409,656,251,405,11,5336,2995,350,118,232,1991
2017,Raleigh,47787,5868,2969,655,2306,262,2044,8,2899,214,621,110,511,2064,41919,9055,6366,2630,697,1933,59,32864,8484,1857,567,1290,22523
2017,St. Marys,23650,3057,2219,745,1407,375,1032,67,838,166,245,15,230,427,20593,7149,4659,2425,612,1813,65,13444,4908,1883,346,1537,6653
2017,St. Matthews,27138,2623,1764,495,1258,241,1017,11,859,206,280,62,218,373,24515,8874,5945,2830,583,2247,99,15641,6058,1689,568,1121,7894
2017,Swift Creek,21856,926,618,135,483,79,404,0,308,0,67,0,67,241,20930,5896,4708,1181,427,754,7,15034,6306,878,376,502,7850
2017,Wake Forest,28637,1616,1095,331,747,78,669,17,521,109,144,0,144,268,27021,12187,10011,2153,456,1697,23,14834,7746,897,259,638,6191
2017,White Oak,31681,848,626,215,411,22,389,0,222,26,65,32,33,131,30833,15784,13292,2464,623,1841,28,15049,7430,1210,402,808,6409
2016,Bartons Creek,7718,136,85,55,30,0,30,0,51,30,0,0,0,21,7582,2885,2617,268,53,215,0,4697,3471,174,49,125,1052
2016,Buckhorn,1503,7,0,0,0,0,0,0,7,0,0,0,0,7,1496,781,732,49,23,26,0,715,432,53,9,44,230
2016,Cary,31287,1277,858,345,513,65,448,0,419,34,95,8,87,290,30010,9445,6964,2413,654,1759,68,20565,9268,1414,568,846,9883
2016,Cedar Fork,19212,501,211,71,140,34,106,0,290,45,10,0,10,235,18711,7400,6527,858,278,580,15,11311,4252,576,199,377,6483
2016,Holly Springs,12874,634,266,159,107,0,107,0,368,191,65,13,52,112,12240,6439,5462,924,218,706,53,5801,3320,430,71,359,2051
2016,House Creek,27776,1791,1042,279,756,251,505,7,749,101,127,0,127,521,25985,5485,4024,1452,241,1211,9,20500,6385,1231,371,860,12884
2016,Leesville,17923,510,333,103,230,76,154,0,177,68,27,0,27,82,17413,6052,4897,1155,408,747,0,11361,4659,638,190,448,6064
2016,Little River,4602,443,239,126,113,0,113,0,204,87,44,15,29,73,4159,1329,1004,276,99,177,49,2830,1279,521,209,312,1030
2016,Marks Creek,8002,784,453,142,272,0,272,39,331,88,93,0,93,150,7218,2875,1900,921,239,682,54,4343,2221,431,154,277,1691
2016,Meredith,7395,253,127,45,33,0,33,49,126,8,14,0,14,104,7142,1450,1154,281,81,200,15,5692,1764,294,128,166,3634
2016,Middle Creek,17229,1477,1086,451,635,156,479,0,391,42,103,60,43,246,15752,6847,5705,1120,503,617,22,8905,4873,737,303,434,3295
2016,Neuse,31037,3139,2310,516,1794,272,1522,0,829,149,228,32,196,452,27898,9195,6273,2882,946,1936,40,18703,6575,1614,438,1176,10514
2016,New Light,2904,123,40,19,21,0,21,0,83,0,16,0,16,67,2781,1183,1062,121,75,46,0,1598,1212,57,17,40,329
2016,Panther Branch,8857,442,363,180,183,23,160,0,79,39,13,13,0,27,8415,3081,2505,563,155,408,13,5334,2869,372,65,307,2093
2016,Raleigh,46818,6182,3196,676,2511,229,2282,9,2986,249,608,135,473,2129,40636,8891,6114,2714,681,2033,63,31745,8048,1836,467,1369,21861
2016,St. Marys,22933,2736,1938,728,1174,254,920,36,798,115,219,4,215,464,20197,6978,4546,2331,475,1856,101,13219,4896,1875,501,1374,6448
2016,St. Matthews,26493,2681,1852,477,1365,289,1076,10,829,180,346,49,297,303,23812,8833,5770,2959,775,2184,104,14979,5289,1761,597,1164,7929
2016,Swift Creek,21395,977,578,68,510,92,418,0,399,36,100,0,100,263,20418,5575,4558,998,285,713,19,14843,6172,832,401,431,7839
2016,Wake Forest,27345,1736,1152,482,652,94,558,18,584,100,139,48,91,345,25609,11610,9477,2120,604,1516,13,13999,7039,972,243,729,5988
2016,White Oak,29942,754,544,198,346,20,326,0,210,40,86,33,53,84,29188,15046,12769,2255,583,1672,22,14142,7237,1148,296,852,5757
2015,Bartons Creek,7775,115,80,48,32,0,32,0,35,24,0,0,0,11,7660,3068,2813,255,53,202,0,4592,3490,178,49,129,924
2015,Buckhorn,1264,11,0,0,0,0,0,0,11,0,0,0,0,11,1253,569,529,40,24,16,0,684,358,56,10,46,270
2015,Cary,30679,1049,723,296,427,63,364,0,326,51,64,9,55,211,29630,9678,7243,2431,566,1865,4,19952,8590,1297,502,795,10065
2015,Cedar Fork,18698,355,229,73,156,31,125,0,126,63,0,0,0,63,18343,7015,6162,837,273,564,16,11328,4173,641,191,450,6514
2015,Holly Springs,12405,607,261,130,131,0,131,0,346,174,69,14,55,103,11798,5956,5171,785,179,606,0,5842,3337,425,72,353,2080
